Scope,,,,,,,,,,,,
Time,25/06/2024 10:25,25/06/2024 10:26,25/06/2024 10:26,25/06/2024 10:27,25/06/2024 10:27,25/06/2024 10:27,25/06/2024 10:28,25/06/2024 10:28,25/06/2024 10:28,25/06/2024 10:29,25/06/2024 10:29,25/06/2024 10:29
Name,AW-1-O-1-T-D1,AW-1-O-1-M-D1,AW-1-O-1-L-D1,AW-1-O-2-T-D1,AW-1-O-2-M-D1,AW-1-O-2-L-D1,AW-1-O-3-T-D1,AW-1-O-3-M-D1,AW-1-O-3-L-D1,AW-1-O-4-T-D1,AW-1-O-4-M-D1,AW-1-O-4-L-D1
GPS,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E
-----------------------End of Scope ----------------------,,,,,,,,,,,,
,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,
Time,25/06/2024 10:25,25/06/2024 10:26,25/06/2024 10:26,25/06/2024 10:27,25/06/2024 10:27,25/06/2024 10:27,25/06/2024 10:28,25/06/2024 10:28,25/06/2024 10:28,25/06/2024 10:29,25/06/2024 10:29,25/06/2024 10:29
Name,AW-1-O-1-T-D1,AW-1-O-1-M-D1,AW-1-O-1-L-D1,AW-1-O-2-T-D1,AW-1-O-2-M-D1,AW-1-O-2-L-D1,AW-1-O-3-T-D1,AW-1-O-3-M-D1,AW-1-O-3-L-D1,AW-1-O-4-T-D1,AW-1-O-4-M-D1,AW-1-O-4-L-D1
GPS,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E
-----------------------End of Absorbance ----------------------,,,,,,,,,,,,
,,,,,,,,,,,,
Transmitance,,,,,,,,,,,,
,,,,,,,,,,,,
Time,25/06/2024 10:25,25/06/2024 10:26,25/06/2024 10:26,25/06/2024 10:27,25/06/2024 10:27,25/06/2024 10:27,25/06/2024 10:28,25/06/2024 10:28,25/06/2024 10:28,25/06/2024 10:29,25/06/2024 10:29,25/06/2024 10:29
Name,AW-1-O-1-T-D1,AW-1-O-1-M-D1,AW-1-O-1-L-D1,AW-1-O-2-T-D1,AW-1-O-2-M-D1,AW-1-O-2-L-D1,AW-1-O-3-T-D1,AW-1-O-3-M-D1,AW-1-O-3-L-D1,AW-1-O-4-T-D1,AW-1-O-4-M-D1,AW-1-O-4-L-D1
GPS,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7893' N  36° 18.8191' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E,12° 41.7813' N  36° 18.8127' E
NDVI,0.360833536,0.366368862,0.464697403,0.413947634,0.421232462,0.415864814,0.352895128,0.373329729,0.397692536,0.354173388,0.387916142,0.332990698
SR,2.129075309,2.156410536,2.736204552,2.41266432,2.455618828,2.42386497,2.09068914,2.191471004,2.320563198,2.096806423,2.267526132,1.998458931
MCARI1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OSAVI,0.465477892,0.467767833,0.546976731,0.52597469,0.530365626,0.540029416,0.467656075,0.481840089,0.498663325,0.463979314,0.518073436,0.473376841
G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TVI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZMI,1.416477735,1.458804675,1.676737721,1.520960829,1.525697176,1.431843162,1.423918025,1.398678523,1.420339078,1.438847659,1.396031268,1.299375576
SPRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPQI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPCI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ctr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ctr2,0.46949582,0.470336778,0.364437947,0.410978134,0.404394469,0.421244472,0.468554069,0.470802066,0.434633601,0.475396284,0.441785019,0.503315271
Lic1,0.514956417,0.513990739,0.611535042,0.572274775,0.583040921,0.585974341,0.50324193,0.527883627,0.566323324,0.510327611,0.575701719,0.53382347
Lic2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SIPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GM1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GM2,1.801523163,1.825883875,2.250036801,2.008956,2.031083373,1.918814112,1.809829419,1.786067316,1.881097319,1.799272966,1.840991262,1.644462135
ARI1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRI1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRI2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RDVI,0.397377629,0.401745329,0.454418752,0.456127925,0.451699182,0.466457399,0.417455377,0.411480832,0.407528271,0.40132424,0.435436619,0.395414744
-----------------------End of Transmitance ----------------------,,,,,,,,,,,,
